Wall time,Epoch,Loss
1554119365.0945675,0,108.26933288574219
1554121240.3842673,0,115.9381332397461
1554121590.78682,1,17.574296951293945
1554121936.4292116,2,15.957066535949707
1554122283.9400764,3,15.237348556518555
1554122630.2930677,4,14.74802303314209
1554122975.6298952,5,14.34931755065918
1554123323.3889399,6,13.986369132995605
1554123670.6350963,7,13.663665771484375
1554124020.1372075,8,13.405965805053711
1554124365.7937672,9,13.168659210205078
1554124714.7545714,10,12.960567474365234
1554125060.0404963,11,12.786470413208008
1554125407.5138052,12,12.626861572265625
1554125755.856157,13,12.517260551452637
1554126104.544668,14,12.437596321105957
1554126446.4635718,15,12.314437866210938
1554126793.3957303,16,12.271539688110352
1554127141.6022637,17,12.233210563659668
1554127490.1600714,18,12.172554016113281
1554127836.7297094,19,12.132471084594727
1554128186.2224352,20,8.942917823791504
1554128506.0863883,21,7.497114181518555
1554128834.7655609,22,6.9642462730407715
1554129164.9648814,23,6.5967116355896
1554129492.0684168,24,6.33758544921875
1554129822.7464182,25,6.125632286071777
1554130148.2879152,26,5.912640571594238
1554130477.3086357,27,5.773562431335449
1554130805.1982458,28,5.6181206703186035
1554131130.9880133,29,5.476078033447266
1554131459.3552938,30,5.346335411071777
1554131779.269782,31,5.2309675216674805
1554132099.2884462,32,5.136021137237549
1554132418.1840012,33,5.008268356323242
1554132736.5061748,34,4.920056343078613
1554133055.560157,35,4.826696395874023
1554133374.2829897,36,4.755354881286621
1554133692.9050503,37,4.676126956939697
1554134011.4715507,38,4.575294494628906
1554134329.6720755,39,4.508026599884033
1554134647.549734,40,4.442575454711914
1554134965.5512626,41,4.395501613616943
1554135284.1744208,42,4.308338165283203
1554135601.9818938,43,4.242727279663086
1554135918.9146922,44,4.190182209014893
1554136236.2702208,45,4.141442775726318
1554136552.99336,46,4.099405765533447
1554136871.0720677,47,4.0297932624816895
1554137189.6078901,48,3.986429214477539
1554137507.6916728,49,3.939783811569214
1554137874.7322776,50,3.848437547683716
1554138211.6843684,51,3.8017640113830566
1554138547.9195275,52,3.772052764892578
1554138884.6521678,53,3.7590994834899902
1554139222.7261713,54,3.749896287918091
1554139561.0330572,55,3.7302086353302
1554139898.8221216,56,3.7110331058502197
1554140235.834327,57,3.7079544067382812
1554140572.4463303,58,3.6868834495544434
1554140909.1149936,59,3.679145336151123
1554141247.4552608,60,3.6813206672668457
1554141583.3948705,61,3.6565308570861816
1554141920.4913719,62,3.658223867416382
1554142257.8532708,63,3.637315511703491
1554142597.3753796,64,3.6367416381835938
1554142934.2889228,65,3.6331419944763184
1554143274.5411186,66,3.618356227874756
1554143613.5222774,67,3.615178346633911
1554143949.5387402,68,3.5988755226135254
1554144285.3196902,69,3.5999186038970947
1554144621.4749968,70,3.591458797454834
1554144958.3314626,71,3.581712484359741
1554145294.4596941,72,3.5732064247131348
1554145631.309199,73,3.5646746158599854
1554145970.259286,74,3.552243709564209
1554146307.2909074,75,3.555697202682495
1554146646.6910646,76,3.545635461807251
1554146983.0312936,77,3.534245252609253
1554147318.6783133,78,3.5431742668151855
1554147654.607026,79,3.5235743522644043
1554282449.1575508,80,3.5175063610076904
1554282793.2171516,81,3.5060832500457764
1554283138.7596798,82,3.5102484226226807
1554283487.8953068,83,3.4941792488098145
1554283839.0312746,84,3.4944260120391846
1554284188.5403473,85,3.4844472408294678
1554284536.9467826,86,3.4774341583251953
1554284885.8054795,87,3.4732837677001953
1554285232.030728,88,3.4612460136413574
1554285576.918682,89,3.4618468284606934
1554285923.4006531,90,3.44978666305542
1554286271.42011,91,3.4453635215759277
1554286619.8779256,92,3.4418458938598633
1554286968.4401917,93,3.436915159225464
1554287316.5065567,94,3.426100015640259
1554287664.251273,95,3.423680305480957
1554288011.8176088,96,3.4261207580566406
1554288359.8301103,97,3.4292874336242676
1554288707.1209698,98,3.425626277923584
1554289054.6257117,99,3.420961856842041
1554289402.5945568,100,3.4319117069244385
1554289750.7701924,101,3.4216814041137695
1554290097.5207522,102,3.428191661834717
1554290442.8311584,103,3.4237542152404785
1554290790.5541809,104,3.4246675968170166
